Transaction_ID,Date,Account,Cost_Center,Amount,Debit_Credit,Description,Posted_By,Anomaly_Flags,Max_Z_Score,Severity,Anomaly_Score
TXN-00001,2024-01-13,6200-Benefits,CC-IT,2310.16,Credit,Journal entry 1 - 6200-Benefits,tlee,WEEKEND_POSTING,0.0,LOW,30
TXN-00003,2024-01-16,6100-Salaries,CC-IT,2897.29,Debit,Journal entry 3 - 6100-Salaries,tlee,NEW_ACCOUNT,0.0,LOW,30
TXN-00004,2024-11-04,5100-COGS,CC-HR,10770.27,Debit,Journal entry 4 - 5100-COGS,tlee,ZSCORE(3.56); IQR_OUTLIER,3.559875293673727,MEDIUM,70
TXN-00006,2024-01-04,8100-Software,CC-Operations,771.85,Debit,Journal entry 6 - 8100-Software,bwilson,NEW_ACCOUNT,0.0,LOW,30
TXN-00007,2024-03-20,8100-Software,CC-Marketing,11717.27,Debit,Journal entry 7 - 8100-Software,amiller,IQR_OUTLIER,0.0,LOW,30
TXN-00008,2024-07-13,6200-Benefits,CC-Marketing,3467.37,Debit,Journal entry 8 - 6200-Benefits,bwilson,WEEKEND_POSTING,0.0,LOW,30
TXN-00011,2024-07-04,4000-Revenue,CC-Finance,547.23,Debit,Journal entry 11 - 4000-Revenue,jsmith,HOLIDAY_POSTING,0.0,LOW,30
TXN-00014,2024-06-30,8200-Hardware,CC-Marketing,62.18,Debit,Journal entry 14 - 8200-Hardware,amiller,WEEKEND_POSTING,0.0,LOW,30
TXN-00016,2024-08-24,7100-Travel,CC-Marketing,471.81,Credit,Journal entry 16 - 7100-Travel,dchen,WEEKEND_POSTING,0.0,LOW,30
TXN-00021,2024-05-06,7100-Travel,CC-HR,9882.03,Credit,Journal entry 21 - 7100-Travel,mbrown,IQR_OUTLIER,0.0,LOW,30
TXN-00024,2024-11-17,7100-Travel,CC-Operations,129.4,Debit,Journal entry 24 - 7100-Travel,lwang,WEEKEND_POSTING,0.0,LOW,30
TXN-00027,2024-11-24,8100-Software,CC-Finance,195.1,Credit,Journal entry 27 - 8100-Software,kpatel,WEEKEND_POSTING,0.0,LOW,30
TXN-00031,2024-09-28,5100-COGS,CC-HR,444.72,Debit,Journal entry 31 - 5100-COGS,bwilson,WEEKEND_POSTING,0.0,LOW,30
TXN-00032,2024-01-10,9200-Rent,CC-Marketing,17648.7,Debit,Journal entry 32 - 9200-Rent,kpatel,IQR_OUTLIER,0.0,LOW,30
TXN-00037,2024-06-08,7200-Meals,CC-Marketing,1500.11,Credit,Journal entry 37 - 7200-Meals,cgarcia,WEEKEND_POSTING,0.0,LOW,30
TXN-00039,2024-06-22,6200-Benefits,CC-HR,149.56,Debit,Journal entry 39 - 6200-Benefits,dchen,WEEKEND_POSTING,0.0,LOW,30
TXN-00041,2024-04-27,6100-Salaries,CC-Finance,3319.93,Debit,Journal entry 41 - 6100-Salaries,bwilson,WEEKEND_POSTING,0.0,LOW,30
TXN-00044,2024-05-04,9200-Rent,CC-Operations,698.09,Credit,Journal entry 44 - 9200-Rent,tlee,WEEKEND_POSTING,0.0,LOW,30
TXN-00045,2024-02-19,6200-Benefits,CC-Marketing,119.37,Credit,Journal entry 45 - 6200-Benefits,mbrown,HOLIDAY_POSTING,0.0,LOW,30
TXN-00047,2024-06-22,9100-Consulting,CC-IT,549.52,Debit,Journal entry 47 - 9100-Consulting,tlee,WEEKEND_POSTING,0.0,LOW,30
TXN-00048,2024-10-01,7200-Meals,CC-IT,5354.45,Credit,Journal entry 48 - 7200-Meals,mbrown,IQR_OUTLIER,0.0,LOW,30
TXN-00051,2024-02-17,6100-Salaries,CC-IT,1783.13,Debit,Journal entry 51 - 6100-Salaries,mbrown,WEEKEND_POSTING,0.0,LOW,30
TXN-00053,2024-07-13,7100-Travel,CC-Operations,397.27,Debit,Journal entry 53 - 7100-Travel,kpatel,WEEKEND_POSTING,0.0,LOW,30
TXN-00054,2024-05-26,9200-Rent,CC-HR,2744.94,Credit,Journal entry 54 - 9200-Rent,cgarcia,WEEKEND_POSTING,0.0,LOW,30
TXN-00055,2024-04-07,7100-Travel,CC-IT,5148.7,Credit,Journal entry 55 - 7100-Travel,jsmith,WEEKEND_POSTING,0.0,LOW,30
TXN-00057,2024-10-26,6100-Salaries,CC-HR,311.43,Credit,Journal entry 57 - 6100-Salaries,dchen,WEEKEND_POSTING,0.0,LOW,30
TXN-00059,2024-02-04,4000-Revenue,CC-Operations,1802.44,Debit,Journal entry 59 - 4000-Revenue,amiller,WEEKEND_POSTING,0.0,LOW,30
TXN-00066,2024-05-05,6200-Benefits,CC-Marketing,8386.34,Credit,Journal entry 66 - 6200-Benefits,rjohnson,IQR_OUTLIER; WEEKEND_POSTING,0.0,MEDIUM,60
