Expense_Report_ID,Employee_ID,Expense_Date,Category,Amount,Currency,Description,Violation_Rule,Severity,Violation_Detail,Suggested_Action
ER-2024-001,EMP-101,2024-03-15,Hotel,275.0,USD,Overnight stay for client meeting,hotel_per_diem,P2,Hotel expense USD 275.00 exceeds per diem of 250.00.,Reimburse up to $250.00. Document business need for higher-cost property.
ER-2024-001,EMP-101,2024-03-16,Meals,95.0,USD,Team dinner after workshop,meals_per_diem,P2,Meal expense USD 95.00 exceeds daily per diem of 75.00.,Reimburse up to $75.00. Employee responsible for overage.
ER-2024-002,EMP-202,2024-03-16,Meals,85.0,USD,Saturday working lunch - quarterly close,meals_per_diem,P2,Meal expense USD 85.00 exceeds daily per diem of 75.00.,Reimburse up to $75.00. Employee responsible for overage.
ER-2024-002,EMP-202,2024-03-17,Entertainment,200.0,USD,Client entertainment - Sunday golf outing,receipt_required,P2,No receipt attached for USD 200.00 expense (threshold: $25).,Receipt required for expenses over $25. Request receipt from employee.
ER-2024-002,EMP-202,2024-03-17,Entertainment,200.0,USD,Client entertainment - Sunday golf outing,entertainment_limit,P3,Entertainment expense USD 200.00 exceeds per-event limit of 150.00.,Requires manager pre-approval for entertainment over $150.00.
ER-2024-002,EMP-202,2024-03-18,Meals,30.0,USD,Bar tab after client dinner - wine and cocktails,alcohol_prohibited,P2,Description suggests alcohol purchase: 'Bar tab after client dinner - wine and cocktails',Separate alcohol charges from meal receipts. Alcohol is not reimbursable.
ER-2024-002,EMP-202,2024-03-18,Meals,30.0,USD,Bar tab after client dinner - wine and cocktails,receipt_required,P2,No receipt attached for USD 30.00 expense (threshold: $25).,Receipt required for expenses over $25. Request receipt from employee.
ER-2024-003,EMP-303,2024-03-19,Personal Care,65.0,USD,Haircut and grooming before client presentation,prohibited_category,P1,Category 'Personal Care' is prohibited per policy.,Remove expense or reclassify to an approved category.
ER-2024-003,EMP-303,2024-03-19,Personal Care,65.0,USD,Haircut and grooming before client presentation,personal_items_prohibited,P1,Description contains personal/non-business terms: 'Haircut and grooming before client presentation',Remove expense — personal items are not reimbursable.
ER-2024-003,EMP-303,2024-03-19,Personal Care,65.0,USD,Haircut and grooming before client presentation,receipt_required,P2,No receipt attached for USD 65.00 expense (threshold: $25).,Receipt required for expenses over $25. Request receipt from employee.
ER-2024-004,EMP-404,2024-03-21,Equipment,6500.0,USD,Laptop purchase for project,max_single_expense,P1,Expense amount USD 6500.00 exceeds maximum single expense limit of 5000.00.,Requires VP-level approval and supporting documentation.
ER-2024-004,EMP-404,2024-03-21,Equipment,6500.0,USD,Laptop purchase for project,receipt_required,P1,No receipt attached for USD 6500.00 expense (threshold: $25).,Receipt is mandatory for expenses over $500. Do not reimburse without receipt.
ER-2024-005,EMP-505,2024-03-23,Gym,45.0,USD,Hotel gym day pass during travel,prohibited_category,P1,Category 'Gym' is prohibited per policy.,Remove expense or reclassify to an approved category.
ER-2024-005,EMP-505,2024-03-23,Gym,45.0,USD,Hotel gym day pass during travel,personal_items_prohibited,P1,Description contains personal/non-business terms: 'Hotel gym day pass during travel',Remove expense — personal items are not reimbursable.
ER-2024-005,EMP-505,2024-03-23,Gym,45.0,USD,Hotel gym day pass during travel,receipt_required,P2,No receipt attached for USD 45.00 expense (threshold: $25).,Receipt required for expenses over $25. Request receipt from employee.
