INSTRUCTIONS,"Complete all REQUIRED fields. Delete rows 1-3 before loading. Supplier_ID must be unique. Validate with: python workday_financial_validator.py supplier_master this_file.csv 3",,,,,,,,,,,,,,,,,,
FIELD TYPE,REQUIRED,REQUIRED,REQUIRED,OPTIONAL,OPTIONAL,OPTIONAL,OPTIONAL,REQUIRED,OPTIONAL,OPTIONAL,OPTIONAL,OPTIONAL,OPTIONAL,OPTIONAL,OPTIONAL,OPTIONAL,OPTIONAL,OPTIONAL
EXAMPLE,SUPP-00001,Acme Corporation,Vendor,EIN,12-3456789,USD,Net30,ACH,123 Main Street,,Chicago,IL,60601,US,Jane Smith,jane.smith@acme.com,555-123-4567,FALSE
Supplier_ID,Supplier_Name,Supplier_Category,Tax_ID_Type,Tax_ID,Default_Currency,Payment_Terms,Default_Payment_Type,Address_Line_1,Address_Line_2,City,State,Postal_Code,Country,Primary_Contact_Name,Primary_Contact_Email,Primary_Contact_Phone,Inactive
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
NOTES:,Supplier_Category valid values: Vendor | Contractor | Consultant | Employee | Intercompany | Government | Non_Profit | Individual,,,,,,,,,,,,,,,,,,
NOTES:,Tax_ID_Type valid values: EIN | SSN | FEIN | Foreign | None,,,,,,,,,,,,,,,,,,
NOTES:,"Default_Currency: 3-letter ISO code. This is the default — invoices can still be in other currencies",,,,,,,,,,,,,,,,,,
NOTES:,Payment_Terms: Must match a valid Workday Payment Terms Reference ID in your tenant (e.g. Net30 / Net45 / Due_Upon_Receipt),,,,,,,,,,,,,,,,,,
NOTES:,Default_Payment_Type valid values: ACH | Check | Wire | Virtual_Card | Manual | Intercompany,,,,,,,,,,,,,,,,,,
NOTES:,Country: 2-letter ISO country code (US / GB / CA / DE / FR etc.),,,,,,,,,,,,,,,,,,
NOTES:,"Inactive: TRUE only for suppliers being brought in as inactive (historical). Leave FALSE for all active suppliers",,,,,,,,,,,,,,,,,,
NOTES:,"Load order: Object 3 — load after Cost Centers, before Open AP Invoices and Open POs",,,,,,,,,,,,,,,,,,
