Transaction_ID,Date,Account,Account_Name,Cost_Center,Amount,Debit_Credit,Description,Posted_By,Company
TXN-2024-00001,2024-01-02,10100,Cash - Operating,CC-1001,45230.00,Debit,Operating cash receipt,jsmith,ACME Corp
TXN-2024-00002,2024-01-02,20100,Accounts Payable,CC-1001,45230.00,Credit,AP payment batch 001,jsmith,ACME Corp
TXN-2024-00003,2024-01-03,60100,Office Supplies Expense,CC-1042,1250.00,Debit,Office supplies Q1,mdavis,ACME Corp
TXN-2024-00004,2024-01-03,20100,Accounts Payable,CC-1042,1250.00,Credit,Invoice INV-2024-0003,mdavis,ACME Corp
TXN-2024-00005,2024-01-05,60200,Travel & Entertainment,CC-1015,8750.00,Debit,Q4 leadership offsite,rjohnson,ACME Corp
TXN-2024-00006,2024-01-05,20100,Accounts Payable,CC-1015,8750.00,Credit,Invoice INV-2024-0005,rjohnson,ACME Corp
TXN-2024-00007,2024-01-06,10100,Cash - Operating,CC-1001,125000.00,Credit,Wire transfer to vendor,system,ACME Corp
TXN-2024-00008,2024-01-06,20100,Accounts Payable,CC-1001,125000.00,Debit,Payment INV-2024-0006,system,ACME Corp
TXN-2024-00009,2024-01-08,60300,Consulting Fees,CC-1020,85000.00,Debit,Strategic consulting Q1,alee,ACME Corp
TXN-2024-00010,2024-01-08,20100,Accounts Payable,CC-1020,85000.00,Credit,Invoice INV-2024-0009,alee,ACME Corp
TXN-2024-00011,2024-01-09,60100,Office Supplies Expense,CC-1042,1180.00,Debit,Monthly office supplies,mdavis,ACME Corp
TXN-2024-00012,2024-01-10,70100,Salaries Expense,CC-1001,450000.00,Debit,Jan payroll run,system,ACME Corp
TXN-2024-00013,2024-01-10,20200,Salaries Payable,CC-1001,450000.00,Credit,Jan payroll run,system,ACME Corp
TXN-2024-00014,2024-01-11,60400,Software Subscriptions,CC-1030,24999.00,Debit,Annual SaaS licenses,kbrown,ACME Corp
TXN-2024-00015,2024-01-11,20100,Accounts Payable,CC-1030,24999.00,Credit,Invoice INV-2024-0014,kbrown,ACME Corp
TXN-2024-00016,2024-01-13,60200,Travel & Entertainment,CC-1015,450.00,Debit,Team dinner,rjohnson,ACME Corp
TXN-2024-00017,2024-01-13,20100,Accounts Payable,CC-1015,450.00,Credit,Invoice INV-2024-0016,rjohnson,ACME Corp
TXN-2024-00018,2024-01-14,60500,Marketing Expense,CC-1025,12000.00,Debit,Q1 digital campaign,tgarcia,ACME Corp
TXN-2024-00019,2024-01-14,20100,Accounts Payable,CC-1025,12000.00,Credit,Invoice INV-2024-0018,tgarcia,ACME Corp
TXN-2024-00020,2024-01-15,60300,Consulting Fees,CC-1020,950000.00,Debit,ANOMALY: Large consulting fee spike,unknown,ACME Corp
TXN-2024-00021,2024-01-15,20100,Accounts Payable,CC-1020,950000.00,Credit,Invoice INV-2024-0020,unknown,ACME Corp
TXN-2024-00022,2024-01-16,60100,Office Supplies Expense,CC-1042,1320.00,Debit,Office supplies mid-Jan,mdavis,ACME Corp
TXN-2024-00023,2024-01-17,10100,Cash - Operating,CC-1001,89000.00,Debit,Customer payment received,system,ACME Corp
TXN-2024-00024,2024-01-18,60200,Travel & Entertainment,CC-1015,15000.00,Debit,Executive travel package,rjohnson,ACME Corp
TXN-2024-00025,2024-01-19,60600,Depreciation Expense,CC-1001,28750.00,Debit,Monthly depreciation run,system,ACME Corp
TXN-2024-00026,2024-01-20,60300,Consulting Fees,CC-1020,75000.00,Debit,Q1 consulting tranche 2,alee,ACME Corp
TXN-2024-00027,2024-01-20,20100,Accounts Payable,CC-1020,75000.00,Credit,Invoice INV-2024-0026,alee,ACME Corp
TXN-2024-00028,2024-01-21,60100,Office Supplies Expense,CC-1042,100000.00,Debit,ANOMALY: Round number large office supplies,mdavis,ACME Corp
TXN-2024-00029,2024-01-21,20100,Accounts Payable,CC-1042,100000.00,Credit,Invoice INV-2024-0028,mdavis,ACME Corp
TXN-2024-00030,2024-01-22,60700,Rent Expense,CC-1001,48500.00,Debit,Monthly rent payment,system,ACME Corp
TXN-2024-00031,2024-01-22,20100,Accounts Payable,CC-1001,48500.00,Credit,Rent invoice Jan,system,ACME Corp
TXN-2024-00032,2024-01-27,60100,Office Supplies Expense,CC-1042,1250.00,Debit,ANOMALY: Duplicate - same as TXN-00003,mdavis,ACME Corp
TXN-2024-00033,2024-01-27,20100,Accounts Payable,CC-1042,1250.00,Credit,Invoice INV-2024-0032,mdavis,ACME Corp
TXN-2024-00034,2024-01-28,99100,Suspense Account,CC-1001,35000.00,Debit,ANOMALY: New suspense account posting,temp_user,ACME Corp
TXN-2024-00035,2024-01-28,20100,Accounts Payable,CC-1001,35000.00,Credit,Clearing entry,temp_user,ACME Corp
